Sample.Code x_coordinate y_coordinate Li Be Na Mg Al P S K Ca Ti V Cr Mn Fe Co Ni Cu Zn Ga As Se Rb Sr Y Zr Nb Mo Ag Cd Sn Sb Cs Ba La Ce Pr Nd Sm Eu Gd Tb Dy Ho Er Tm Yb Lu Hf Ta W Tl Pb Bi Th U catchment long lat locality
CG001 787 717 41.9 3.031 10586 7501 70518 870 NA 18849 5509 6520.8 93.7 67.76 1765.8 43482 24.41 39.45 18.81 114 14.77 5.06 0.44 79.32 129.5 21.019 169.54 14.711 0.41 0.095 0.36 2.35 0.46 3.18 615.2 42.7 85.44 10.315 37.84 6.862 1.393 5.356 0.743 4.056 0.792 2.248 0.34 2.314 0.349 4.673 1.074 0.974 0.568 22.116 0.2 12.42 3.153 Deveron -2.4589 57.5337833333333 61
CG002 775 443 34.6 7.937 24793 5133 84307 1074 NA 35816 10104 4137 67.5 31.88 939.9 33572 8.84 14.4 14.15 101 18.99 2.91 0.96 229.54 151.18 58.515 890.13 35.072 1.64 0.307 0.82 7.38 0.44 5.99 495.6 198.92 367.84 35.21 111.46 17.18 1.837 12.425 1.745 10.259 1.831 6.186 0.982 7.788 1.358 29.081 3.161 4.249 1.779 77.275 1.4 137.2 31.234 Dee -2.49786666666667 57.0363 9
CG003 232 430 19.4 1.717 20025 7131 73177 1271 NA 24782 10955 3216.3 53.1 38.82 615 27280 9.25 18.62 14.46 71 13.31 1.39 0.5 91.8 277.02 22.112 88.06 9.617 0.51 0.062 0.16 2 0.16 3.27 754.3 43.46 90.47 10.309 37.33 6.714 1.362 5.388 0.803 4.553 0.901 2.301 0.571 2.251 0.318 2.539 0.602 0.581 0.588 26.866 0.2 10.99 2.923 Spey -4.28446666666667 57.0185 12
CG005 553 515 39.2 2.924 13848 13259 91415 707 NA 25020 12214 6341.8 94.4 79.41 960.9 46221 16.28 34.59 18.02 126 18.69 7.04 0.32 108.25 169.91 19.374 112.21 14.739 0.36 0.095 0.24 2.68 0.18 2.93 573.5 35.39 67.62 8.455 30.63 5.727 1.28 4.639 0.663 3.956 0.714 2.057 0.3 2.04 0.317 3.174 0.938 0.985 0.839 31.177 0.2 11.7 2.559 Don -3.23173333333333 57.16705 32
CG007 367 293 38.4 2.501 15124 17702 79847 934 1486 21947 14198 4085.3 71.3 60.62 878.2 43081 15.59 29.93 19.41 96 17.07 3.5 0.48 97.64 189.51 21.068 135.54 11.613 0.66 0.08 0.2 2.96 0.31 3.65 511.9 42.03 89.43 10.307 37.88 7.275 1.586 5.444 0.787 4.494 0.742 2.268 0.309 2.158 0.308 4.234 0.775 0.923 0.633 25.317 0.3 13.72 3.415 Tay -3.84188333333333 56.7685333333333 43
CG008_rep_avg_dup_avg 599 532 26.15 2.20825 14309.25 13067.5 66024.25 907 NA 14671.75 18574.25 9133.9 104.15 77.75 1231.2 48399 17.69 38.0275 14.775 135.5 14.1125 5.49 0.5125 67.89 178.575 19.09725 123.85 14.75475 0.4625 0.09325 0.405 2.625 0.2225 2.1925 409.15 26.6325 53.4625 6.63425 25.3225 4.74625 1.291 4.167 0.63 3.67625 0.6885 2.08075 0.301 2.0405 0.29625 3.63025 1.00525 0.82525 0.581 25.43575 NA 9.1375 2.4435 Don -3.07986666666667 57.1984833333333 33
CG010 520 618 31.7 2.064 11438 10959 64651 896 NA 19034 8936 3411.2 46.4 40.87 1423 32740 12.63 20.29 25.21 75 12.79 4.08 0.86 86.3 143.06 21.822 226.87 9.426 0.61 0.104 0.26 2.53 0.41 4.57 534 36.44 75.33 8.786 32.14 5.783 1.163 4.694 0.708 4.563 0.774 2.343 0.358 2.414 0.395 6.324 0.712 1.853 0.588 23.903 0.2 13.48 4.072 Spey -3.336 57.3547333333333 23
CG011 365 289 13.6 3.16 19925 6168 71392 1689 NA 27668 16311 5594.9 53.1 38.85 1005.1 28039 9.25 15.56 19.58 64 14.46 2.48 0.31 101.38 250.46 49.721 369.99 24.564 0.74 0.148 0.18 5.91 0.57 2.13 779.3 39.89 91.31 10.694 40.82 8.108 1.979 7.616 1.289 8.578 1.721 5.677 0.872 6.023 0.91 10.806 1.844 0.582 0.711 53.125 0.2 12.41 5.119 Tay -3.84925 56.7631166666667 44
CG013 490 90 23.4 1.978 18507 10268 71512 1198 NA 16494 14297 4532.1 79.1 58.76 1604.4 40812 15.68 30.93 28.94 95 13.52 7.67 0.46 61.59 190.49 27.088 140.69 10.5 0.56 0.124 0.25 4.41 0.93 1.66 488.3 28.35 58.37 7.107 26.62 5.227 1.298 4.6 0.746 4.763 0.983 2.936 0.436 3.055 0.461 4.06 0.697 0.473 0.422 31.866 0.2 7.35 3.1 Tay -3.4329 56.4103666666667 55
CG015 418 226 20.5 1.951 19504 9895 78441 1128 NA 24193 16181 4547.4 68.3 49.62 2032.8 36557 13.3 21.61 13.49 109 15.38 3.18 0.34 93.99 245.31 31.158 169.47 14.988 0.5 0.081 0.31 15.64 0.8 2.4 687.1 33.61 79.62 8.711 32.28 6.439 1.529 5.507 0.889 5.614 1.092 3.611 0.526 3.671 0.53 5.059 1.096 0.496 0.722 32.653 0.3 10.5 3.204 Tay -3.67185 56.6504666666667 48
